"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YAL001C",158.683402476396,-0.833581176165368,0.188182209568143,5.22069209748115e-06,2.49202167057671e-05
"YAL002W",73.4242134343831,-1.14125344110391,0.235160963387158,3.88932320465801e-07,2.26273892579906e-06
"YAL003W",327.144063726154,-0.836026060755139,0.191709347485223,7.13043968979236e-06,3.32263787606819e-05
"YAL005C",3075.98944512122,1.20071817769382,0.155222139897531,3.0001082605801e-15,5.10974960555613e-14
"YAL007C",67.4411033095436,0.893501959724695,0.264804080447057,0.000362959456547971,0.00118223379527488
"YAL008W",60.6515676524334,-0.622159327120188,0.246936274889878,0.00828929183107631,0.0188497982969831
"YAL009W",28.2025574985657,-1.20988069594546,0.363702296191137,0.000230175944796691,0.000785431969584992
"YAL010C",20.0354862427357,-0.402538158614237,0.399298454385806,0.255619772637941,0.345786865876572
"YAL011W",57.4146029064301,1.03953172168079,0.431678930205292,0.00556645440281262,0.0133504024779294
"YAL012W",95.4036791777458,2.78675395864342,0.279417508281332,1.19145408702476e-25,5.18591423359813e-24
"YAL013W",41.9026466304291,0.809895308443454,0.321489393622993,0.00635688211574756,0.0149891811043871
"YAL014C",22.8875891279631,-0.151129216774793,0.381153018174225,0.658495213690982,0.733937381572119
"YAL015C",24.9113463086545,0.361455057705007,0.375152413886763,0.284196401685784,0.378156262750378
"YAL016W",278.818080845305,-0.619630623905403,0.207178390922219,0.00199450223292252,0.00539580806659887
"YAL017W",391.659469891408,-0.933731421981561,0.179056147531446,8.75234994564698e-08,5.67021039477637e-07
"YAL018C",1.87433931933642,1.18038365588802,1.08129627663531,0.0271561510797121,0.053332066759488
"YAL019W",110.531269147898,-0.672762133274498,0.229040019284624,0.00222274588822621,0.00595027555317414
"YAL020C",17.0301473413613,-1.30113914438671,0.544093991648474,0.00315975063134858,0.00807950161436216
"YAL021C",87.4695737361612,-1.66047934996384,0.359867779303572,3.83475208329384e-07,2.23986115720026e-06
"YAL022C",36.9373207672029,-0.855942906983104,0.360013824940271,0.00861847655612376,0.0195002573137402
"YAL023C",171.239875136027,0.218619939420765,0.220015108412234,0.303117620902022,0.398460657812143
"YAL024C",45.3985004349997,-0.349076223988542,0.310049107188811,0.226366090230779,0.313857278479485
"YAL025C",37.0138976650074,-0.131708243252818,0.362273076152774,0.688477259138945,0.760573862511833
"YAL026C",93.30392266711,-1.16359970898632,0.271740702546449,5.58262923363996e-06,2.65186171195379e-05
"YAL027W",24.7442004372132,-0.223896933612064,0.33749383107668,0.470200032513213,0.56477828925749
"YAL028W",20.7750964685602,0.618546196197628,0.389251898838229,0.0746303580140133,0.125437066272981
"YAL029C",194.428224537618,-0.774992957055955,0.2112678718377,0.000145335929131989,0.000517885942740791
"YAL030W",86.7345057691034,-0.254665410080498,0.22181439082912,0.233800209113767,0.32229859571872
"YAL031C",87.9989584249439,-1.2522417873246,0.256738021068866,2.71875132616084e-07,1.63180620965486e-06
"YAL032C",38.4320329801232,-1.05080796884469,0.309170919151501,0.000248515510730067,0.00084214367995956
"YAL033W",17.9957812618876,-0.609263142036064,0.406296096856896,0.0892333028452309,0.145891732754195
"YAL034C",208.29529495366,0.866370514422397,0.243935718893642,0.000197502004099977,0.000685077789900512
"YAL034W-A",11.1045113790244,-0.137664639400908,0.444870610411797,0.719346884016221,0.788744596096159
"YAL035W",394.538829153612,0.708030455631141,0.277050585174345,0.00669773446008262,0.0157172075429095
"YAL036C",34.3456356104086,-0.54413997439932,0.32433938300424,0.0692280959829676,0.117482017382417
"YAL037W",13.5073309131647,-1.88795252368702,0.586564824211319,6.08887993029547e-05,0.000235693402308407
"YAL038W",2238.33586358711,-2.69423872202991,0.183056215250831,4.15217728180642e-51,7.62443553371704e-49
"YAL039C",72.5284660389179,0.249857821537827,0.236816614452699,0.271439172550793,0.364037196801404
"YAL040C",48.016578192399,-1.9271896299668,0.366726590282672,7.6991341376481e-09,5.83743383133164e-08
"YAL041W",57.3943355968083,-1.25306744596809,0.290455768046364,3.98905225402321e-06,1.94037011958943e-05
"YAL042W",68.9349604974556,-0.633527898241413,0.258301952120561,0.00983985740833433,0.0218845579603984
"YAL043C",30.5026971030567,-0.506806386212944,0.378344242528351,0.135545515352757,0.205539470506529
"YAL044C",130.038736721873,1.09581949483358,0.198682123073938,1.23206028738197e-08,9.06080882184789e-08
"YAL044W-A",47.463518318768,0.244473690000494,0.303968600284374,0.388997695614973,0.485626429224066
"YAL046C",27.2183558980347,0.376405358329445,0.374515930431779,0.26408356921823,0.355580901174684
"YAL047C",21.0473072407613,0.0351464277173476,0.411545708698139,0.922746023161808,0.941165705970975
"YAL048C",31.6393543183452,-1.48503916587635,0.374693503150654,1.06246254308115e-05,4.75641092939309e-05
"YAL049C",241.221224269256,-0.0467710107776362,0.189541282915908,0.800015407189602,0.851764908977369
"YAL051W",106.640324387581,-0.685386822913223,0.211570420958463,0.000797068720223377,0.00238163901171402
"YAL053W",171.53497802397,-1.05016158941849,0.258626694370093,1.84433196740662e-05,7.8360771080848e-05
"YAL054C",111.831095269414,0.223502135171028,0.258955370692193,0.364417416715494,0.460003596266433
"YAL055W",39.3389005686706,0.675337633743783,0.415396080668312,0.0638553593031017,0.10948762511381
"YAL056W",220.077086049605,-1.75246265528482,0.247013721565071,1.08023621966942e-13,1.5113019111375e-12
"YAL058W",21.2829749355653,-1.17463583446186,0.491382320387726,0.0043080890666545,0.0106228834895769
"YAL059W",26.3067287697405,-0.677524703273049,0.380005200181416,0.0465773834739507,0.0843633053528425
"YAL060W",301.352575861245,-0.414526962212898,0.235495643839146,0.0665147290498428,0.113517440574173
"YAL061W",163.312556415836,-1.03699260776896,0.197862284517935,6.31343056084178e-08,4.2156497699439e-07
"YAL062W",69.8642759443466,0.632225061541441,0.283619136089689,0.0177561691709586,0.0369459100738502
"YAL063C",34.5420228060526,-0.135773621499365,0.293735556580754,0.622239281160714,0.704715471219506
"YAL065C",4.36634604612076,0.74740335439611,0.678291337724274,0.120603876192127,0.187726722252964
"YAL067C",59.761906987875,0.371069785459299,0.272273685062544,0.14972486743628,0.222786356306807
"YAR002C-A",110.44605952848,0.113132540525467,0.23992621343014,0.622780398731546,0.705097807889511
"YAR002W",54.5879577770638,-0.626647181085806,0.285463565031273,0.0194733225407864,0.039887430991018
"YAR003W",46.0374367736877,-1.92690549658889,0.368879324796721,9.12099923467943e-09,6.81870120903007e-08
"YAR007C",93.9625860296106,-0.151848330962278,0.258439993859261,0.53709295787105,0.629052864351264
"YAR008W",28.5355388049649,-1.02636523167244,0.374134598715011,0.0022484705510683,0.00600950658675262
"YAR014C",69.3487572825371,-1.80034982254032,0.281228470972556,1.12910507443029e-11,1.23320100694283e-10
"YAR015W",115.656328774973,-0.936529798064957,0.236965525539623,3.58721800519724e-05,0.000144869367687553
"YAR018C",11.6088517470073,-0.388226507452524,0.479465212096476,0.335046475450576,0.430752297885017
"YAR019C",38.4391144316758,-0.729567392305292,0.283263343303349,0.00613846008587154,0.0145618051936137
"YAR020C",1.66926090501047,-0.2124236532903,0.802405313480499,0.645658393110441,0.723058646448818
"YAR023C",9.75074001888936,-0.504323179808475,0.475393724765459,0.208067693336358,0.293050279492914
"YAR027W",24.1508296050406,3.39520314440108,1.05642854735605,1.86041166275162e-06,9.58927976344605e-06
"YAR028W",2.8734062487345,2.3169557473168,1.46966867359724,0.00103498369724844,0.00300918565315777
"YAR029W",1.41120586334622,0.46971573841,0.936769392015986,0.289374633080243,0.383916311578124
"YAR035W",8.77190162437609,0.898023849740359,0.660616559756258,0.0619474315424546,0.106777092327211
"YAR042W",113.011953741518,-0.973599432576001,0.233069107766101,1.28633097770553e-05,5.6364510253525e-05
"YAR050W",45.5339247827742,-0.0864437685141426,0.294440897028207,0.754280454744521,0.81593371724573
"YAR064W",1.46900048677376,0.0335120437773066,0.790428227816338,0.941987956634495,0.955649384182371
"YAR066W",4.05716644413675,0.0877091333769211,0.634344528888837,0.848966422289364,0.887638202379413
"YAR068W",21.2059556931514,-1.64553743851101,0.509970280465507,0.000113008002597046,0.000413214077946634
"YAR071W",4.1680303702533,0.142078849604696,1.07791770490691,0.639097753573613,0.718312624330251
"YBL001C",230.557373597859,1.63220305463052,0.21770494553095,7.19893683019869e-15,1.18822901163617e-13
"YBL002W",335.427141097268,0.18931017406646,0.218542185468758,0.369590418376422,0.465147468049408
"YBL003C",484.071818592724,1.03414343646419,0.150228902600412,2.35040114454827e-12,2.77328456332643e-11
"YBL004W",266.932180809998,-1.07455080889448,0.21397249783332,1.87586224067085e-07,1.15298813035376e-06
"YBL005W",58.0729146792195,-0.404395209150116,0.250715922670051,0.0908902000748522,0.148353004344398
"YBL005W-A",4.9994085131234,-1.92201879124077,1.26196024078765,0.00258726225109252,0.00678391476457815
