"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022857","GO:0022857","transmembrane transporter activity","159/1645","376/5857",0.422872340425532,1.50563118411692,6.33340376585045,7.0828766227296e-10,3.78534140781855e-07,3.50005777320504e-07,"YAL053W/YBL030C/YBL042C/YBL099W/YBR021W/YBR043C/YBR091C/YBR127C/YBR180W/YBR220C/YBR235W/YBR295W/YBR296C/YBR298C/YCL005W-A/YCL025C/YCR011C/YCR023C/YCR028C/YCR037C/YCR075C/YCR098C/YDL067C/YDL138W/YDL206W/YDL210W/YDR086C/YDR119W/YDR270W/YDR322C-A/YDR338C/YDR343C/YDR345C/YDR352W/YDR406W/YDR529C/YDR536W/YEL006W/YEL027W/YEL063C/YEL064C/YEL065W/YEL069C/YER039C/YER053C/YER056C/YER060W/YFL050C/YFL054C/YFL055W/YFR033C/YGL008C/YGL077C/YGL080W/YGL139W/YGL186C/YGR121C/YGR138C/YGR191W/YGR217W/YGR243W/YGR260W/YHL008C/YHL016C/YHL028W/YHL036W/YHL040C/YHR002W/YHR039C-A/YHR092C/YHR094C/YHR096C/YHR162W/YHR175W/YIL006W/YIL088C/YIL166C/YIR028W/YJL108C/YJL166W/YJL193W/YJL212C/YJR095W/YJR106W/YJR121W/YJR152W/YJR158W/YKL016C/YKL120W/YKL217W/YKR039W/YKR093W/YKR103W/YKR105C/YLL053C/YLR004C/YLR092W/YLR188W/YLR237W/YLR295C/YLR378C/YLR447C/YML081C-A/YML116W/YML123C/YMR034C/YMR058W/YMR088C/YMR155W/YMR221C/YMR256C/YMR279C/YMR319C/YNL055C/YNL065W/YNL070W/YNL101W/YNL121C/YNL142W/YNL291C/YNL305C/YNR017W/YNR055C/YNR072W/YOL075C/YOL077W-A/YOL092W/YOL130W/YOL137W/YOL158C/YOR011W/YOR045W/YOR049C/YOR065W/YOR100C/YOR161C/YOR273C/YOR306C/YOR328W/YOR348C/YOR390W/YPL036W/YPL063W/YPL078C/YPL092W/YPL189W/YPL265W/YPL271W/YPL274W/YPR011C/YPR020W/YPR058W/YPR124W/YPR128C/YPR133W-A/YPR156C/YPR191W/YPR194C/YPR201W",159
"GO:0005215","GO:0005215","transporter activity","172/1645","417/5857",0.412470023980815,1.46859387869643,6.2044671942918,1.37398962171272e-09,3.78534140781855e-07,3.50005777320504e-07,"YAL026C/YAL053W/YBL030C/YBL042C/YBL099W/YBR021W/YBR043C/YBR091C/YBR127C/YBR180W/YBR220C/YBR235W/YBR295W/YBR296C/YBR298C/YCL005W-A/YCL025C/YCR011C/YCR023C/YCR028C/YCR037C/YCR075C/YCR098C/YDL067C/YDL138W/YDL206W/YDL210W/YDR086C/YDR119W/YDR270W/YDR322C-A/YDR338C/YDR343C/YDR345C/YDR352W/YDR406W/YDR529C/YDR536W/YEL006W/YEL020W-A/YEL027W/YEL063C/YEL064C/YEL065W/YEL069C/YER039C/YER053C/YER056C/YER060W/YFL050C/YFL054C/YFL055W/YFR033C/YGL008C/YGL077C/YGL080W/YGL139W/YGL186C/YGR121C/YGR138C/YGR181W/YGR191W/YGR217W/YGR243W/YGR260W/YHL008C/YHL016C/YHL028W/YHL036W/YHL040C/YHR001W/YHR002W/YHR005C-A/YHR039C-A/YHR092C/YHR094C/YHR096C/YHR162W/YHR175W/YIL006W/YIL048W/YIL088C/YIL166C/YIR028W/YJL108C/YJL166W/YJL193W/YJL212C/YJR095W/YJR106W/YJR121W/YJR135W-A/YJR152W/YJR158W/YKL016C/YKL053C-A/YKL120W/YKL217W/YKR039W/YKR093W/YKR103W/YKR105C/YLL006W/YLL053C/YLR004C/YLR092W/YLR168C/YLR188W/YLR193C/YLR237W/YLR295C/YLR378C/YLR447C/YML081C-A/YML116W/YML123C/YMR034C/YMR058W/YMR088C/YMR155W/YMR162C/YMR221C/YMR256C/YMR279C/YMR319C/YNL055C/YNL065W/YNL070W/YNL101W/YNL121C/YNL142W/YNL264C/YNL291C/YNL305C/YNR017W/YNR055C/YNR072W/YOL075C/YOL077W-A/YOL092W/YOL130W/YOL137W/YOL158C/YOR011W/YOR045W/YOR049C/YOR065W/YOR100C/YOR161C/YOR273C/YOR306C/YOR328W/YOR348C/YOR390W/YPL036W/YPL063W/YPL078C/YPL092W/YPL189W/YPL265W/YPL271W/YPL274W/YPR011C/YPR020W/YPR058W/YPR124W/YPR128C/YPR133W-A/YPR156C/YPR191W/YPR194C/YPR201W",172
"GO:0016491","GO:0016491","oxidoreductase activity","127/1645","321/5857",0.395638629283489,1.40866592809325,4.7061114722144,3.30734784509883e-06,0.000607449554216486,0.000561668897202749,"YAL061W/YBL064C/YBR010W/YBR052C/YCL018W/YCL026C-B/YCL035C/YCR102C/YCR105W/YCR107W/YDL015C/YDL067C/YDL085W/YDL168W/YDL243C/YDR032C/YDR402C/YDR506C/YDR513W/YDR529C/YDR541C/YEL070W/YEL071W/YER049W/YER073W/YER101C/YER132C/YER141W/YFL018C/YFR030W/YFR033C/YFR049W/YGL001C/YGL012W/YGL055W/YGL148W/YGL157W/YGL185C/YGL205W/YGR060W/YGR088W/YGR154C/YGR175C/YGR204W/YGR209C/YGR256W/YHL021C/YHR007C/YHR008C/YHR037W/YHR039C/YHR055C/YHR067W/YHR106W/YHR176W/YHR183W/YIL074C/YIL155C/YJL045W/YJL052W/YJL166W/YJR009C/YJR078W/YJR111C/YJR119C/YJR137C/YJR155W/YJR159W/YKL026C/YKL055C/YKL085W/YKL148C/YKL182W/YKL195W/YKR009C/YKR076W/YLL051C/YLR043C/YLR056W/YLR100W/YLR109W/YLR142W/YLR164W/YLR174W/YLR214W/YLR364W/YLR450W/YML019W/YML028W/YML054C/YML075C/YML087C/YML130C/YMR009W/YMR015C/YMR058W/YMR145C/YMR169C/YMR170C/YMR256C/YMR272C/YMR303C/YMR318C/YNL037C/YNL134C/YNL229C/YNL241C/YNL280C/YNR073C/YNR074C/YOL086C/YOL126C/YOL152W/YOR065W/YOR288C/YOR374W/YOR381W/YOR384W/YOR388C/YPL061W/YPL088W/YPL171C/YPL231W/YPL252C/YPR127W/YPR167C/YPR191W",127
"GO:0008514","GO:0008514","organic anion transmembrane transporter activity","38/1645","82/5857",0.463414634146341,1.64998146638001,3.7040019712178,0.000299274977515368,0.0303015047565938,0.0280178208084657,"YAL053W/YBL030C/YBR043C/YBR220C/YCL025C/YCR028C/YCR075C/YCR098C/YDL210W/YEL063C/YEL064C/YGL077C/YGL080W/YGL139W/YGR191W/YGR243W/YGR260W/YHL036W/YHR002W/YHR162W/YIL088C/YIL166C/YJL193W/YJR095W/YJR152W/YKL120W/YKL217W/YKR039W/YMR034C/YNL065W/YNL101W/YOR049C/YOR306C/YOR348C/YPL265W/YPR011C/YPR058W/YPR128C",38
"GO:0015318","GO:0015318","inorganic molecular entity transmembrane transporter activity","69/1645","171/5857",0.403508771929825,1.4366874633392,3.62163480800997,0.000304605095400196,0.0303015047565938,0.0280178208084657,"YBL099W/YBR127C/YBR235W/YBR295W/YBR296C/YBR298C/YCL005W-A/YCR023C/YCR037C/YDL067C/YDL138W/YDL210W/YDR270W/YDR322C-A/YDR343C/YDR345C/YDR529C/YDR536W/YEL027W/YEL069C/YER053C/YFL050C/YFL054C/YFR033C/YGL008C/YGR121C/YGR217W/YHL008C/YHR039C-A/YHR092C/YHR094C/YHR096C/YHR175W/YIL166C/YIR028W/YJL166W/YJR121W/YJR158W/YKL016C/YKL120W/YKL217W/YLL053C/YLR092W/YLR295C/YLR447C/YML081C-A/YML116W/YML123C/YMR058W/YMR256C/YMR279C/YMR319C/YNL142W/YNL291C/YNL305C/YNR055C/YNR072W/YOL077W-A/YOL130W/YOR065W/YOR390W/YPL036W/YPL078C/YPL092W/YPL271W/YPR020W/YPR124W/YPR191W/YPR201W",69
"GO:0015203","GO:0015203","polyamine transmembrane transporter activity","9/1645","11/5857",0.818181818181818,2.91312517269964,3.9687123910594,0.000329961939273253,0.0303015047565938,0.0280178208084657,"YBR043C/YDL210W/YGR138C/YHL016C/YKR039W/YNR055C/YOR273C/YPL274W/YPR156C",9
"GO:0015078","GO:0015078","proton transmembrane transporter activity","39/1645","86/5857",0.453488372093023,1.61463914610872,3.58825426075243,0.000433512225458977,0.0341236051754138,0.0315518672364128,"YBL099W/YBR127C/YBR298C/YCL005W-A/YDL067C/YDL138W/YDL210W/YDR322C-A/YDR343C/YDR345C/YDR529C/YDR536W/YEL027W/YEL069C/YFR033C/YGL008C/YHR039C-A/YHR092C/YHR094C/YHR096C/YIR028W/YJL166W/YJR121W/YJR158W/YKL016C/YKL217W/YLR295C/YLR447C/YML081C-A/YML123C/YMR256C/YNR072W/YOL077W-A/YOR065W/YPL036W/YPL078C/YPL271W/YPR020W/YPR191W",39
