"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YDR003W-A",31.1198631826511,1.77639999732546,0.336196896529771,34.1958267880709,3.75379508131244e-08,1.87881600492265e-07
"YDR004W",43.785095736852,-0.549725448717717,0.302540008617274,3.55859296334619,0.16875682903832,0.217745965619053
"YDR005C",110.259582776008,-1.2721200873966,0.220516818674322,37.2792029764968,8.03385388505005e-09,4.36293210984788e-08
"YDR006C",229.810421938112,-1.21625305710569,0.162263743736797,72.9336171651146,1.45434104113726e-16,1.84972033716938e-15
"YDR007W",62.7857706471754,0.0368100528021756,0.254105721415623,0.0391833606946506,0.980598989411497,0.983612096582785
"YDR009W",21.5397137581394,-0.273072534787138,0.390617071535267,3.33339004588345,0.188870247104951,0.240268796706796
"YDR010C",2.9867210821679,0.127574487698645,0.981113830441532,3.09297690284232,0.212994603042755,0.266742601764541
"YDR011W",581.423219510903,0.0225435937584917,0.225609491838241,26.2426243017994,2.00210355847371e-06,7.62928697120074e-06
"YDR012W",536.415606619607,-0.483708005807423,0.273197529181553,10.8322397926361,0.00444435780478384,0.00873145702999974
"YDR013W",20.3032800297111,0.835114234590202,0.421111781277025,7.74643519809896,0.0207913634126287,0.034404407607042
"YDR014W",44.081296666561,0.0512214515829612,0.447814495748635,0.0927153388098816,0.954700433981141,0.96305918456192
"YDR014W-A",1.31420836812479,0.326826913149693,1.3773392030778,0.0880223515842715,0.956943262814295,0.965155958169722
"YDR016C",12.7679236080713,1.03659528870527,0.517701078353815,4.77354327423518,0.0919259757593813,0.128547604369854
"YDR017C",148.96411028688,-0.814970088519995,0.201117396166121,19.8889909128257,4.7991077180333e-05,0.000145134106799607
"YDR018C",26.5642837672987,0.202809545679528,0.358395904249443,6.50781284031849,0.0386230349492302,0.0598020957474773
"YDR019C",98.7733085813654,0.876955203264006,0.261608179961534,12.8778798894458,0.00159809985721027,0.00349086794088014
"YDR020C",12.3115638507001,-0.927428856400656,0.516914479300109,3.55215930760889,0.169300564792278,0.218399586985603
"YDR021W",21.8435994235528,0.110302644119773,0.356499716892097,3.69584313702303,0.157564312849315,0.205060443477869
"YDR022C",34.8189826092138,-0.343318221394282,0.321325455273078,4.0004172991958,0.135307048529866,0.18004171584273
