"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YAL001C",158.683402476396,-0.383879468893996,0.187311513228536,0.0325745377376986,0.0735485959500721
"YAL002W",73.4242134343831,0.0239922906110157,0.237196333381555,0.913890413341675,0.942770377246433
"YAL003W",327.144063726154,-1.05462255581211,0.191626732464048,7.46487527857017e-09,1.04040138384565e-07
"YAL005C",3075.98944512122,0.992366173772064,0.154350301578689,3.18979178675226e-11,6.69400590677011e-10
"YAL007C",67.4411033095436,-0.780906149700025,0.236091315536334,0.000385554204997425,0.00183146039495947
"YAL008W",60.6515676524334,-0.107860593809983,0.244564954428554,0.635799888616363,0.740674097047928
"YAL009W",28.2025574985657,-0.968215022740165,0.356363017833444,0.00146713125054672,0.00573577061091983
"YAL010C",20.0354862427357,-0.77948228045143,0.388241550469602,0.0155847232827079,0.0407184677675373
"YAL011W",57.4146029064301,0.998581235241183,0.425696509142092,0.00353525571419657,0.012014553254262
"YAL012W",95.4036791777458,0.172455004026496,0.214347822643324,0.3955906513155,0.527214939244699
"YAL013W",41.9026466304291,0.412437931042471,0.300506358992108,0.125318796145925,0.218898111222787
"YAL014C",22.8875891279631,-0.32628723000116,0.360670474222946,0.287779323124094,0.417235982063483
"YAL015C",24.9113463086545,-0.0248052711106013,0.347307467613149,0.93394785125223,0.95700128854901
"YAL016W",278.818080845305,-0.481715136407529,0.20431105476899,0.0131286757588038,0.0357258822456896
"YAL017W",391.659469891408,-0.0992747077862007,0.177577588907164,0.561863444235616,0.676400245508806
"YAL018C",1.87433931933642,0.227867335139977,0.63992018772448,0.517458535716662,0.638901668698964
"YAL019W",110.531269147898,-0.713530189615485,0.225844307490379,0.000756000080192746,0.00324489150563373
"YAL020C",17.0301473413613,-1.05371075879145,0.523814572085524,0.00601073522301646,0.0185987783941257
"YAL021C",87.4695737361612,-1.20051362447669,0.354961342250966,7.83619089556769e-05,0.000452757696188355
"YAL022C",36.9373207672029,-0.576046834588459,0.345958432632809,0.0534484639238457,0.110578225805368
"YAL023C",171.239875136027,-0.586557799719161,0.213605987350259,0.00367505498390119,0.0123680544589939
"YAL024C",45.3985004349997,-0.606384191748411,0.301483093087776,0.0243855268171919,0.0583901204473593
"YAL025C",37.0138976650074,-1.04830158265258,0.361699040541283,0.000656571671971499,0.00288126597797202
"YAL026C",93.30392266711,-0.904904500507215,0.268161512329133,0.00021613803206768,0.00111405883897341
"YAL027W",24.7442004372132,0.15189199440036,0.330911116281396,0.599614409592219,0.709695661948292
"YAL028W",20.7750964685602,1.33464522896901,0.444213150337793,0.000170039515585697,0.000898518159695641
