"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006825","GO:0006825","copper ion transport","12/1647","18/5861",0.666666666666667,2.37239425217567,3.64540295967427,0.000737396819875268,0.022197353632435,0.020439604464613,"YDR270W/YER053C/YHR175W/YLL009C/YLL051C/YLR214W/YMR319C/YNL259C/YOL152W/YOR381W/YOR384W/YPR124W",12
"GO:0009086","GO:0009086","methionine biosynthetic process","18/1647","32/5861",0.5625,2.00170765027322,3.55195368341437,0.000742160759747066,0.022197353632435,0.020439604464613,"YER052C/YFR055W/YGL184C/YGR204W/YHR208W/YIR017C/YJR024C/YJR148W/YKL001C/YKR069W/YLL058W/YLL062C/YLR303W/YMR009W/YNL103W/YNL277W/YPL273W/YPR167C",18
"GO:0044282","GO:0044282","small molecule catabolic process","55/1647","134/5861",0.41044776119403,1.46061586421263,3.37191051888287,0.000757057982401065,0.0222385782330313,0.0204775645991566,"YAL044C/YBR208C/YCL064C/YDL168W/YDR050C/YDR148C/YDR400W/YEL020C/YEL046C/YER010C/YER043C/YER073W/YFL018C/YFL053W/YFR055W/YGL156W/YGL196W/YGL205W/YGR087C/YGR240C/YHL032C/YHR037W/YHR046C/YHR208W/YIL155C/YIR023W/YJL060W/YJR019C/YJR078W/YJR148W/YJR159W/YKL106W/YKR009C/YLR044C/YLR134W/YLR142W/YLR231C/YLR438W/YML070W/YMR105C/YMR322C/YNL239W/YNR071C/YOL055C/YOR040W/YOR363C/YOR388C/YOR391C/YPL061W/YPL095C/YPL111W/YPL280W/YPR006C/YPR127W/YPR128C",55
"GO:0015718","GO:0015718","monocarboxylic acid transport","17/1647","30/5861",0.566666666666667,2.01653511434932,3.48947293133499,0.000928657899435548,0.0261234452522818,0.024054799371642,"YCR028C/YGL080W/YGR243W/YHR162W/YIL006W/YJL078C/YJL079C/YJL193W/YJR152W/YKL120W/YKL217W/YKR013W/YMR034C/YMR246W/YNL065W/YOL147C/YOR049C",17
"GO:0006067","GO:0006067","ethanol metabolic process","10/1647","14/5861",0.714285714285714,2.54185098447394,3.61067347298456,0.000936950316039286,0.0261234452522818,0.024054799371642,"YDL085W/YER073W/YGR087C/YLR044C/YLR134W/YMR145C/YMR303C/YOL086C/YOR374W/YPL061W",10
"GO:0015846","GO:0015846","polyamine transport","10/1647","14/5861",0.714285714285714,2.54185098447394,3.61067347298456,0.000936950316039286,0.0261234452522818,0.024054799371642,"YBR043C/YDL210W/YGR138C/YHL016C/YJR059W/YKR039W/YNR055C/YOR273C/YPL274W/YPR156C",10
"GO:0006865","GO:0006865","amino acid transport","28/1647","59/5861",0.474576271186441,1.68882302697251,3.32424590514625,0.00115982584140207,0.0317985584851067,0.0292805155399575,"YBR043C/YCL025C/YCL038C/YCR075C/YDL210W/YDR119W/YDR352W/YEL062W/YEL063C/YEL064C/YFL055W/YGL077C/YGR125W/YGR142W/YGR191W/YHL036W/YIL088C/YKL176C/YKR039W/YKR105C/YMR088C/YNL065W/YNL101W/YOL092W/YOR348C/YPL265W/YPL274W/YPR058W",28
"GO:0009132","GO:0009132","nucleoside diphosphate metabolic process","20/1647","38/5861",0.526315789473684,1.872942830665,3.37483502546071,0.00118565038095239,0.0319736865027325,0.0294417756374546,"YAL038W/YBR196C/YCR012W/YDL021W/YDR050C/YER005W/YGL253W/YGR240C/YGR254W/YHR174W/YJL052W/YJR009C/YKL060C/YKL152C/YLR446W/YOL056W/YOL136C/YOR344C/YOR347C/YPL075W",20
"GO:0009060","GO:0009060","aerobic respiration","38/1647","87/5861",0.436781609195402,1.55432726866682,3.25638556996139,0.00124708234620256,0.0330879106371485,0.0304677673376143,"YBL030C/YBR010W/YBR238C/YCR005C/YDL067C/YDR031W/YDR148C/YDR529C/YEL039C/YER065C/YFR033C/YFR049W/YGL226W/YIR031C/YJL045W/YJL116C/YJL166W/YJR121W/YKL055C/YKL085W/YKL148C/YLR164W/YLR174W/YMR002W/YMR030W/YMR081C/YMR256C/YNL037C/YNL117W/YNL169C/YNR001C/YOL126C/YOR002W/YOR065W/YOR355W/YPL262W/YPL271W/YPR191W",38
"GO:0044283","GO:0044283","small molecule biosynthetic process","123/1647","347/5861",0.354466858789625,1.26140270756891,3.1382662052273,0.00126810938898657,0.0331117451568715,0.030489714465358,"YAL012W/YAL061W/YBR112C/YBR196C/YBR218C/YBR256C/YCL009C/YCL018W/YCR012W/YDL015C/YDL168W/YDR050C/YDR315C/YDR511W/YEL012W/YEL029C/YEL046C/YEL071W/YER052C/YER055C/YER061C/YER073W/YFL018C/YFR055W/YGL001C/YGL009C/YGL012W/YGL055W/YGL062W/YGL148W/YGL184C/YGR060W/YGR087C/YGR124W/YGR144W/YGR175C/YGR204W/YHR007C/YHR033W/YHR037W/YHR046C/YHR067W/YHR072W/YHR208W/YIL020C/YIL051C/YIL053W/YIL074C/YIR017C/YIR033W/YJL052W/YJL060W/YJL088W/YJL089W/YJL097W/YJL196C/YJR009C/YJR024C/YJR105W/YJR137C/YJR148W/YKL001C/YKL055C/YKL060C/YKL152C/YKL182W/YKR069W/YKR097W/YLL027W/YLL058W/YLL062C/YLR044C/YLR056W/YLR100W/YLR134W/YLR231C/YLR303W/YLR377C/YLR410W/YLR438W/YLR450W/YML028W/YML075C/YML087C/YMR009W/YMR015C/YMR101C/YMR169C/YMR170C/YMR202W/YMR207C/YMR208W/YMR271C/YMR272C/YMR280C/YMR296C/YMR303C/YMR322C/YNL037C/YNL103W/YNL277W/YNL280C/YNR016C/YNR043W/YOL055C/YOL086C/YOL126C/YOL140W/YOR047C/YOR171C/YOR374W/YOR391C/YPL028W/YPL061W/YPL095C/YPL201C/YPL231W/YPL252C/YPL273W/YPL280W/YPR035W/YPR121W/YPR167C",123
"GO:0098661","GO:0098661","inorganic anion transmembrane transport","15/1647","26/5861",0.576923076923077,2.05303348745972,3.36400604960171,0.00144912177443982,0.0372469581086485,0.0342974709443898,"YBR235W/YBR296C/YCR023C/YCR037C/YER053C/YGL254W/YHL008C/YIL166C/YKL120W/YLR092W/YML116W/YMR279C/YOR390W/YPL092W/YPR201W",15
"GO:0170041","GO:0170041","non-proteinogenic amino acid metabolic process","19/1647","36/5861",0.527777777777778,1.87814544963907,3.30383296937446,0.00150064455724828,0.0379778507180526,0.0349704861195186,"YAL012W/YER043C/YFR055W/YGL184C/YGL196W/YIR023W/YJL060W/YJL088W/YJR078W/YLL058W/YLR231C/YLR303W/YLR438W/YMR169C/YMR170C/YNL239W/YOL140W/YPL111W/YPL273W",19
"GO:0016052","GO:0016052","carbohydrate catabolic process","41/1647","97/5861",0.422680412371134,1.50414687122478,3.12989161977251,0.00176954586240824,0.0431831833295392,0.0397636223395981,"YAL038W/YBR196C/YBR299W/YCR012W/YDL021W/YDR050C/YFL053W/YFR017C/YFR021W/YGL156W/YGL253W/YGR240C/YGR254W/YGR287C/YGR292W/YHL032C/YHR174W/YIL050W/YIL123W/YIL155C/YIL162W/YIL172C/YJL052W/YJL216C/YJR009C/YJR159W/YKL060C/YKL152C/YLR300W/YLR446W/YML070W/YMR105C/YNR067C/YNR071C/YOL056W/YOL136C/YOR190W/YOR344C/YOR347C/YPL075W/YPR184W",41
"GO:0006754","GO:0006754","ATP biosynthetic process","11/1647","17/5861",0.647058823529412,2.30261795064109,3.3622868159077,0.00178507991878946,0.0431831833295392,0.0397636223395981,"YBL099W/YDR322C-A/YJL116C/YJR121W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL078C/YPL271W/YPR020W",11
"GO:0015986","GO:0015986","proton motive force-driven ATP synthesis","11/1647","17/5861",0.647058823529412,2.30261795064109,3.3622868159077,0.00178507991878946,0.0431831833295392,0.0397636223395981,"YBL099W/YDR322C-A/YJL116C/YJR121W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL078C/YPL271W/YPR020W",11
"GO:0055086","GO:0055086","nucleobase-containing small molecule metabolic process","93/1647","256/5861",0.36328125,1.29276952413479,2.99437634289502,0.00209990742725046,0.0494487090255825,0.0455329977845549,"YAL038W/YBL099W/YBR117C/YBR127C/YBR196C/YBR242W/YBR252W/YCL047C/YCR012W/YCR026C/YDL021W/YDL055C/YDL085W/YDL238C/YDR050C/YDR148C/YDR322C-A/YDR400W/YER005W/YER043C/YFL017C/YGL037C/YGL101W/YGL253W/YGR010W/YGR043C/YGR204W/YGR209C/YGR240C/YGR254W/YGR256W/YHL011C/YHR074W/YHR174W/YHR183W/YHR202W/YIL009W/YIL155C/YIR027C/YIR028W/YIR031C/YJL052W/YJL116C/YJL130C/YJR009C/YJR019C/YJR078W/YJR105W/YJR121W/YKL016C/YKL060C/YKL152C/YKL181W/YLR014C/YLR043C/YLR153C/YLR174W/YLR231C/YLR295C/YLR446W/YLR450W/YML075C/YML081C-A/YMR105C/YMR145C/YMR207C/YMR208W/YMR246W/YMR271C/YMR303C/YNL129W/YNL141W/YNL200C/YNL241C/YNR001C/YNR012W/YNR016C/YNR043W/YOL056W/YOL061W/YOL077W-A/YOL086C/YOL136C/YOR047C/YOR344C/YOR347C/YOR374W/YPL061W/YPL075W/YPL078C/YPL271W/YPL273W/YPR020W",93
"GO:0046164","GO:0046164","alcohol catabolic process","10/1647","15/5861",0.666666666666667,2.37239425217567,3.32692841607177,0.00210420038406734,0.0494487090255825,0.0455329977845549,"YDR050C/YER073W/YFL053W/YHL032C/YHR046C/YIL155C/YJR159W/YML070W/YOL055C/YPL061W",10
